customer_id,month,txn_count,txn_amount,app_logins,complaints,channel_atm,channel_mobile,channel_branch
100000,1,14,563.91,7,0,0,1,0
100000,2,17,1692.19,7,0,0,1,1
100000,3,29,3627.66,5,0,0,1,0
100000,4,28,1501.96,11,0,0,0,0
100000,5,29,3953.5,19,0,0,1,0
100000,6,16,2043.77,8,0,1,1,1
100001,1,12,1512.12,7,0,1,1,0
100001,2,13,785.56,13,1,0,0,0
100001,3,23,2765.19,12,0,0,1,0
100001,4,18,1550.06,13,1,0,1,0
100001,5,30,3751.67,14,1,0,1,0
100001,6,28,3693.06,6,0,1,1,1
100002,1,28,1655.2,6,0,0,0,0
100002,2,33,3927.35,9,0,1,1,0
100002,3,21,2181.32,11,0,0,1,1
100002,4,39,3989.82,9,2,1,1,0
100002,5,39,3854.6,2,0,0,1,0
100002,6,21,2364.25,11,1,1,1,0
100003,1,21,1186.51,6,1,1,0,1
100003,2,14,980.88,13,0,1,1,0
100003,3,11,1099.46,11,1,1,0,0
100003,4,14,1753.04,15,1,1,0,1
100003,5,15,1032.39,6,0,1,1,0
100003,6,18,2161.78,9,1,0,1,0
100004,1,14,564.72,12,0,0,1,1
100004,2,24,1959.42,7,0,1,1,1
100004,3,23,947.17,8,1,1,0,0
100004,4,12,397.21,5,1,0,1,0
100004,5,28,3235.66,12,1,1,1,0
100004,6,26,1671.92,21,1,0,0,0
100005,1,5,717.54,17,0,0,1,0
100005,2,7,860.34,9,0,0,1,1
100005,3,5,176.09,6,1,0,0,0
100005,4,5,628.32,15,1,0,0,0
100005,5,5,107.38,5,0,1,0,0
100005,6,8,549.87,7,1,0,0,0
100006,1,19,1930.07,18,0,1,0,0
100006,2,22,1233.31,11,3,1,1,1
100006,3,26,672.84,11,0,1,0,1
100006,4,28,2581.77,11,0,1,1,0
100006,5,23,2308.2,6,0,1,1,1
100006,6,20,1858.44,14,0,1,1,0
100007,1,3,230.62,14,1,1,0,1
100007,2,2,280.91,9,1,0,1,0
100007,3,2,73.51,8,0,0,1,0
100007,4,2,63.06,8,2,0,0,0
100007,5,2,94.43,11,0,0,0,0
100007,6,3,338.21,16,0,0,1,0
100008,1,8,494.96,11,0,0,1,0
100008,2,15,994.39,18,0,0,1,0
100008,3,10,570.62,10,0,1,0,0
100008,4,15,845.96,11,0,0,1,0
100008,5,16,920.35,8,0,0,1,0
100008,6,9,1338.25,14,1,0,1,0
100009,1,20,2909.07,9,0,0,0,0
100009,2,16,1066.37,14,0,0,1,0
100009,3,19,1621.72,13,1,0,1,0
100009,4,9,846.77,20,1,1,1,0
100009,5,20,789.79,13,0,0,1,0
100009,6,21,2964.68,15,0,1,1,0
100010,1,24,3097.36,8,0,0,1,1
100010,2,14,911.45,14,0,0,1,0
100010,3,15,2083.95,11,0,1,1,1
100010,4,11,812.91,8,0,0,1,0
100010,5,21,1657.48,12,0,0,1,1
100010,6,23,1576.19,6,0,0,1,0
100011,1,8,838.86,10,0,0,1,0
100011,2,12,897.42,20,0,0,1,0
100011,3,13,951.91,12,2,1,1,1
100011,4,15,1129.17,8,0,0,0,0
100011,5,12,667.53,14,0,0,1,1
100011,6,16,1562.62,15,1,0,1,0
100012,1,8,469.01,12,2,0,1,0
100012,2,4,338.11,11,0,0,0,0
100012,3,8,612.22,11,0,1,0,1
100012,4,8,879.97,12,0,1,0,0
100012,5,8,1122.26,13,0,0,1,0
100012,6,8,513.47,7,0,1,1,0
100013,1,18,417.1,14,0,0,1,1
100013,2,34,4075.77,10,0,0,1,0
100013,3,19,957.01,5,2,0,0,1
100013,4,23,2294.1,9,1,0,0,1
100013,5,33,4928.15,10,1,0,0,1
