customer_id,month,txn_count,txn_amount,app_logins,complaints,channel_atm,channel_mobile,channel_branch,snapshot_date
15634602,1,16,736.57,10,2,0,1,0,2026-01-31
15634602,2,7,934.23,13,1,1,1,0,2026-02-28
15634602,3,6,482.31,4,1,0,1,0,2026-03-31
15634602,4,12,779.62,2,2,1,1,0,2026-04-30
15634602,5,1,61.08,3,0,0,1,0,2026-05-31
15634602,6,0,0.0,2,2,1,1,1,2026-06-30
15647311,1,22,758.37,9,0,0,1,0,2026-01-31
15647311,2,16,521.38,5,1,1,0,0,2026-02-28
15647311,3,10,436.85,9,1,1,1,0,2026-03-31
15647311,4,22,1006.91,11,1,0,1,1,2026-04-30
15647311,5,18,855.87,17,0,1,1,0,2026-05-31
15647311,6,18,1836.02,15,0,0,1,0,2026-06-30
15619304,1,8,574.18,11,0,1,0,0,2026-01-31
15619304,2,6,739.95,6,0,1,1,0,2026-02-28
15619304,3,5,120.76,5,1,1,0,1,2026-03-31
15619304,4,1,68.86,2,0,1,1,1,2026-04-30
15619304,5,3,207.85,5,2,0,1,0,2026-05-31
15619304,6,2,206.15,2,0,0,1,0,2026-06-30
15701354,1,6,314.23,8,0,1,1,1,2026-01-31
15701354,2,7,373.91,9,0,1,1,0,2026-02-28
15701354,3,8,328.83,9,1,0,0,0,2026-03-31
15701354,4,5,161.37,15,0,0,1,0,2026-04-30
15701354,5,9,400.44,6,0,0,1,0,2026-05-31
15701354,6,6,388.93,16,0,0,0,0,2026-06-30
15737888,1,23,1230.96,9,0,0,1,0,2026-01-31
15737888,2,27,2097.65,11,0,1,1,0,2026-02-28
15737888,3,19,1593.04,12,0,0,0,0,2026-03-31
15737888,4,12,1958.15,8,0,0,1,0,2026-04-30
15737888,5,17,1431.32,18,0,0,0,1,2026-05-31
15737888,6,24,945.11,9,0,0,0,0,2026-06-30
15574012,1,12,1186.97,6,0,0,1,0,2026-01-31
15574012,2,7,240.09,7,0,0,1,0,2026-02-28
15574012,3,4,210.66,6,1,0,1,0,2026-03-31
15574012,4,3,168.01,6,1,0,1,0,2026-04-30
15574012,5,0,0.0,3,0,1,1,0,2026-05-31
15574012,6,5,255.25,1,1,0,1,1,2026-06-30
15592531,1,14,841.41,18,0,1,1,0,2026-01-31
15592531,2,15,1234.96,11,0,0,1,0,2026-02-28
15592531,3,16,1390.02,9,0,0,1,1,2026-03-31
15592531,4,11,317.78,8,1,0,1,0,2026-04-30
15592531,5,10,616.77,5,0,0,0,0,2026-05-31
15592531,6,11,1824.34,5,0,1,1,0,2026-06-30
15656148,1,10,456.49,5,1,0,1,0,2026-01-31
15656148,2,5,141.7,3,0,1,1,0,2026-02-28
15656148,3,9,289.71,2,0,0,1,1,2026-03-31
15656148,4,5,379.56,2,2,0,1,0,2026-04-30
15656148,5,4,393.16,2,1,0,0,1,2026-05-31
15656148,6,6,609.89,0,1,1,1,1,2026-06-30
15792365,1,16,1155.12,6,0,0,0,0,2026-01-31
15792365,2,17,767.86,15,1,0,1,0,2026-02-28
15792365,3,17,990.74,8,1,0,1,0,2026-03-31
15792365,4,22,1712.12,12,0,0,0,0,2026-04-30
15792365,5,10,882.95,13,1,1,0,0,2026-05-31
15792365,6,13,319.78,17,0,0,0,0,2026-06-30
15592389,1,12,587.31,11,1,1,0,1,2026-01-31
15592389,2,20,1140.74,11,0,0,0,0,2026-02-28
15592389,3,15,1445.55,8,2,0,1,1,2026-03-31
15592389,4,19,875.53,14,0,0,1,1,2026-04-30
15592389,5,18,710.53,10,1,1,1,0,2026-05-31
15592389,6,15,1188.51,16,1,1,1,0,2026-06-30
15767821,1,11,526.36,12,0,0,0,0,2026-01-31
15767821,2,7,474.81,15,0,1,1,0,2026-02-28
15767821,3,11,1613.68,10,1,1,1,0,2026-03-31
15767821,4,9,714.28,9,0,0,1,0,2026-04-30
15767821,5,7,296.28,11,0,0,1,0,2026-05-31
15767821,6,3,253.07,11,0,0,0,0,2026-06-30
15737173,1,9,321.39,12,1,1,1,0,2026-01-31
15737173,2,9,403.81,9,2,0,0,0,2026-02-28
15737173,3,10,1163.37,13,0,0,1,0,2026-03-31
15737173,4,12,500.85,12,0,1,1,0,2026-04-30
15737173,5,8,602.77,9,1,0,1,0,2026-05-31
15737173,6,8,681.8,10,0,0,1,1,2026-06-30
15632264,1,9,150.02,7,1,1,0,0,2026-01-31
15632264,2,5,295.19,12,1,0,0,0,2026-02-28
15632264,3,8,843.99,7,0,1,1,0,2026-03-31
15632264,4,11,499.47,18,1,0,1,1,2026-04-30
15632264,5,14,1371.48,9,1,0,0,0,2026-05-31
15632264,6,8,398.38,12,4,0,1,0,2026-06-30
15691483,1,5,212.07,10,0,0,0,0,2026-01-31
15691483,2,7,771.72,10,0,0,1,0,2026-02-28
15691483,3,8,680.83,17,0,0,1,0,2026-03-31
15691483,4,15,1272.02,14,0,0,1,1,2026-04-30
15691483,5,8,384.95,16,1,1,1,0,2026-05-31
15691483,6,5,328.4,13,0,0,0,1,2026-06-30
15600882,1,23,1434.24,13,1,0,1,1,2026-01-31
15600882,2,8,499.41,9,1,0,1,0,2026-02-28
15600882,3,16,1372.48,8,1,1,1,0,2026-03-31
15600882,4,20,1166.21,13,0,0,1,1,2026-04-30
15600882,5,12,767.88,9,0,0,1,0,2026-05-31
15600882,6,21,722.65,6,0,1,1,0,2026-06-30
15643966,1,12,301.52,14,0,0,1,0,2026-01-31
15643966,2,15,1177.54,11,0,1,1,0,2026-02-28
15643966,3,16,872.86,8,0,0,1,0,2026-03-31
15643966,4,14,1193.99,10,0,1,1,0,2026-04-30
15643966,5,10,824.61,11,0,0,1,1,2026-05-31
15643966,6,22,1410.68,12,1,1,1,0,2026-06-30
15737452,1,3,193.25,10,0,0,1,0,2026-01-31
15737452,2,4,130.7,6,1,1,1,0,2026-02-28
15737452,3,6,183.19,11,1,0,1,0,2026-03-31
15737452,4,4,270.67,6,1,1,1,0,2026-04-30
15737452,5,2,85.85,6,0,1,1,0,2026-05-31
15737452,6,1,100.2,2,1,0,1,0,2026-06-30
15788218,1,16,1217.85,13,1,0,0,1,2026-01-31
15788218,2,22,2230.35,13,0,0,1,0,2026-02-28
15788218,3,9,285.53,11,0,1,1,0,2026-03-31
15788218,4,13,374.99,10,0,0,0,0,2026-04-30
15788218,5,11,801.66,15,2,1,1,0,2026-05-31
15788218,6,15,423.61,9,0,0,0,0,2026-06-30
15661507,1,10,496.39,14,0,1,1,0,2026-01-31
15661507,2,10,631.61,3,3,0,0,0,2026-02-28
15661507,3,13,1539.09,7,0,0,1,0,2026-03-31
15661507,4,6,367.31,9,1,0,0,1,2026-04-30
15661507,5,3,435.89,6,0,0,1,0,2026-05-31
15661507,6,7,620.54,3,0,0,0,0,2026-06-30
15568982,1,18,2015.88,11,1,1,0,0,2026-01-31
15568982,2,17,1276.78,14,0,0,1,0,2026-02-28
15568982,3,11,1156.84,7,0,1,0,0,2026-03-31
15568982,4,8,982.69,14,1,0,1,0,2026-04-30
15568982,5,17,886.0,11,0,1,1,0,2026-05-31
15568982,6,9,629.33,8,0,1,0,0,2026-06-30
15577657,1,22,1655.01,12,0,1,0,0,2026-01-31
